STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS,anomaly,NET_WORTH,soundex,uniqueness_score
West Bengal,COOCH BEHAR,NISITH PRAMANIK,1.0,BJP,Lotus,MALE,11,33.0,SC,8th Pass,962981096.0,0.0,728634.0,2960.0,731594.0,40.3259839,47.9593509,1814200.0,1.0,962981096.0,N231,1.0
West Bengal,COOCH BEHAR,ADHIKARY PARESH CHANDRA,0.0,AITC,Flowers and Grass,MALE,0,66.0,SC,12th Pass,417751484.0,412096441.0,676339.0,1024.0,677363.0,37.33673244,44.40425948,1814200.0,1.0,5655043.0,A326,0.25
West Bengal,COOCH BEHAR,GOBINDA CHANDRA ROY,0.0,AIFB,Lion,MALE,2,61.0,SC,Post Graduate,464480046.0,4000004.0,46648.0,162.0,46810.0,2.580200639,3.068610754,1814200.0,1.0,460480042.0,G153,1.0
West Bengal,COOCH BEHAR,PIYA ROY CHOWDHURY,0.0,INC,Hand,FEMALE,0,38.0,SC,Post Graduate,726393372.0,5472975.0,28087.0,128.0,28215.0,1.555230956,1.849622996,1814200.0,1.0,720920397.0,P623,0.5
Tamil Nadu,CUDDALORE,T. R. V .S. RAMESH,1.0,DMK,Rising Sun,MALE,0,48.0,GENERAL,Graduate Professional,42337855242.0,10282860410.0,519594.0,2566.0,522160.0,38.28045846,50.04504591,1364038.0,1.0,32054994832.0,T612,1.0
Tamil Nadu,CUDDALORE,Dr. R. GOVINDASAMY,0.0,PMK,Mango,MALE,1,69.0,GENERAL,Post Graduate,25414793425.0,106560010.0,376628.0,1549.0,378177.0,27.72481412,36.24537561,1364038.0,1.0,25308233415.0,D662,0.2
Tamil Nadu,CUDDALORE,K. THANGAVEL,0.0,IND,Gift Pack,MALE,0,49.0,GENERAL,10th Pass,170000017.0,170000017.0,44865.0,27.0,44892.0,3.291110658,4.302555157,1364038.0,1.0,0.0,K352,1.0
Tamil Nadu,CUDDALORE,R. CHITHRA,0.0,NTK,Ganna Kisan,FEMALE,0,40.0,GENERAL,Graduate,6407376.0,0.0,34565.0,127.0,34692.0,2.543330904,3.324963101,1364038.0,1.0,6407376.0,R236,1.0
Tamil Nadu,CUDDALORE,V. ANNAMALAI,0.0,MNM,Battery Torch,MALE,0,44.0,GENERAL,Post Graduate,882677478.0,0.0,23612.0,101.0,23713.0,1.738441304,2.272709847,1364038.0,1.0,882677478.0,V554,0.5
Odisha,CUTTACK,BHARTRUHARI MAHTAB,1.0,BJD,Conch,MALE,0,62.0,GENERAL,Post Graduate,10689497610.0,0.0,524117.0,475.0,524592.0,34.53544315,49.46839057,1518996.0,1.0,10689497610.0,B636,0.5
Odisha,CUTTACK,PRAKASH MISHRA,0.0,BJP,Lotus,MALE,0,63.0,GENERAL,Post Graduate,931025419.0,0.0,401959.0,1432.0,403391.0,26.5564228,38.03928299,1518996.0,1.0,931025419.0,P622,0.16666666666666666
Odisha,CUTTACK,PANCHANAN KANUNGO,0.0,INC,Hand,MALE,1,67.0,GENERAL,Post Graduate,873957787.0,1520001.0,99742.0,105.0,99847.0,6.573223366,9.415451234,1518996.0,1.0,872437786.0,P525,0.2
